Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
610,flat,emaar palm gardens,sector 83,1.4,9675.0,3.0,3.0,3,11.0,Relatively New,1582.0,0.0,1.0,0.0,0.0,0.0,1.0,58.0,"28.3986° N, 76.9647° E",28.3986,76.9647
611,house,not applicable,sector 11,2.2,12222.0,4.0,3.0,2,1.0,Old Property,1800.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,"28.4531° N, 77.0202° E",28.4531,77.0202
612,house,independent,sector 45,16.0,35003.0,6.0,7.0,3+,3.0,Relatively New,4500.0,1.0,1.0,1.0,1.0,0.0,2.0,105.0,"28.4466° N, 77.0660° E",28.4466,77.066
614,flat,om apartment dayanand colony,sector 5,0.26,4370.0,1.0,1.0,1,3.0,Relatively New,648.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"28.4794° N, 77.0176° E",28.4794,77.0176
615,flat,m3m woodshire,sector 107,1.39,5887.0,3.0,4.0,3+,6.0,Relatively New,2057.0,0.0,1.0,0.0,1.0,0.0,2.0,174.0,"28.5052° N, 76.9729° E",28.5052,76.9729
616,house,independent,sector 6,0.75,10519.0,2.0,4.0,1,3.0,Moderately Old,713.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,"28.4745° N, 77.0262° E",28.4745,77.0262
617,flat,m3m golfestate,sector 65,4.95,15906.0,3.0,3.0,3,10.0,Relatively New,2816.0,0.0,1.0,0.0,0.0,0.0,2.0,82.0,"28.4030° N, 77.0690° E",28.403,77.069
618,flat,ss the leaf,sector 85,1.3,7780.0,2.0,2.0,3+,16.0,Relatively New,1406.0,0.0,0.0,1.0,0.0,0.0,0.0,148.0,"28.4042° N, 76.9513° E",28.4042,76.9513
619,flat,emaar digihomes,sector 62,2.1,13926.0,2.0,2.0,3,12.0,New Property,1500.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,"28.4139° N, 77.0886° E",28.4139,77.0886
621,house,independent,sector 17b,8.5,18814.0,4.0,4.0,2,2.0,Old Property,4518.0,1.0,1.0,0.0,1.0,0.0,2.0,21.0,"28.4806° N, 77.0663° E",28.4806,77.0663
622,flat,rof ananda,sector 95,0.55,8527.0,3.0,2.0,2,14.0,New Property,811.0,1.0,0.0,0.0,0.0,0.0,2.0,81.0,"28.4172° N, 76.9081° E",28.4172,76.9081
